Country,Color,Flag,Year,Warheads
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1956,426.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1956,50.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1956,3692.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1956,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1957,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1957,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1957,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1957,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1957,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1957,660.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1957,58.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1957,5543.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1957,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1958,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1958,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1958,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1958,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1958,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1958,863.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1958,60.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1958,7345.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1958,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1959,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1959,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1959,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1959,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1959,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1959,1048.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1959,78.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1959,12298.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1959,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1960,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1960,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1960,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1960,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1960,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1960,1627.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1960,105.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1960,18638.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1960,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1961,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1961,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1961,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1961,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1961,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1961,2492.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1961,155.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1961,22229.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1961,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1962,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1962,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1962,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1962,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1962,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1962,3346.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1962,211.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1962,25540.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1962,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1963,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1963,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1963,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1963,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1963,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1963,4259.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1963,256.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1963,28133.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1963,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1964,1.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1964,4.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1964,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1964,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1964,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1964,5242.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1964,271.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1964,29463.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1964,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1965,5.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1965,32.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1965,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1965,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1965,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1965,6144.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1965,271.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1965,31139.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1965,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1966,20.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1966,36.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1966,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1966,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1966,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1966,7091.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1966,281.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1966,31175.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1966,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1967,25.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1967,36.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1967,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1967,2.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1967,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1967,8400.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1967,355.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1967,31255.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1967,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1968,35.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1968,36.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1968,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1968,4.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1968,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1968,9490.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1968,317.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1968,29561.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1968,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1969,50.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1969,36.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1969,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1969,6.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1969,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1969,10671.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1969,306.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1969,27552.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1969,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1970,75.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1970,36.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1970,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1970,8.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1970,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1970,11736.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1970,375.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1970,26008.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1970,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1971,100.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1971,45.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1971,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1971,11.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1971,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1971,13279.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1971,412.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1971,25830.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1971,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1972,130.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1972,70.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1972,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1972,13.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1972,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1972,14600.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1972,423.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1972,26516.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1972,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1973,150.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1973,116.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1973,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1973,15.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1973,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1973,15878.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1973,500.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1973,27835.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1973,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1974,170.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1974,145.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1974,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1974,17.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1974,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1974,17286.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1974,500.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1974,28537.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1974,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1975,180.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1975,188.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1975,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1975,20.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1975,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1975,19235.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1975,500.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1975,27519.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1975,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1976,180.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1976,212.0
